mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
2342480;6283156;1;1;1
2347448;12721146;0;1;1
2347448;26460281;0;1;1
2351810;26192077;0;1;1
2351810;26333819;0;1;0
2352226;25889816;0;1;1
2353082;1843092;0;1;0
2353082;16772456;1;1;1
2353082;25261646;0;1;0
2362177;27626764;0;1;0
2362908;24193587;0;1;1
2367853;25312469;0;1;1
2369500;25354066;0;1;1
2372170;9516567;1;1;1
2372843;17330715;0;1;1
2374696;27186534;0;1;1
2379128;27639898;0;1;1
2381631;26927742;0;1;1
2381631;27526227;0;1;0
2385455;18395356;0;1;0
2385853;6315815;0;1;0
2385853;25668637;0;1;0
2390918;25563588;0;1;0
2392926;25568854;0;1;1
2396207;15544542;1;1;1
2398968;8059744;0;1;1
2400911;25286227;0;1;1
2401333;11604769;0;1;1
2405805;12234769;0;1;0
2406112;25936846;0;1;0
2406592;19065729;0;1;0
2406592;26506379;0;1;0
2407135;25211794;0;1;1
2412537;12363050;0;1;0
2414531;26691727;0;1;1
2415520;2271849;0;1;1
2416102;6163374;0;1;1
2416102;11999098;0;1;1
2418347;27199186;0;1;1
2419644;27623098;0;1;0
2426050;6674061;0;1;1
2426642;25406211;0;1;0
2428123;25235221;0;1;1
2432215;25947556;0;1;1
2436125;20876630;0;1;0
2438865;13082398;0;1;0
2438865;14449659;0;1;1
2444655;7686432;0;1;0
2444655;10532307;0;1;1
2446332;27186431;0;1;1
2446576;26896807;0;1;1
2448763;4472393;0;1;0
2449101;19937275;0;1;0
2449101;25291946;0;1;0
2449101;25957430;0;1;0
2453886;25941602;0;1;1
2455919;3722857;0;1;1
2455919;25362002;0;1;1
2461284;25353057;0;1;1
2464295;25653224;0;1;1
2466277;20240256;0;1;0
2466277;25333231;0;1;0
2468258;25534611;0;1;1
2469660;8789860;0;1;0
2473623;8139618;0;1;1
2474678;19722389;0;1;1
2482615;26610451;0;1;1
2484121;13213359;0;1;1
2484594;25180155;0;1;0
2484673;7029116;0;1;1
2484673;13330878;0;1;1
2484673;24023767;0;1;1
2488420;25673080;0;1;1
2489433;4004452;0;1;0
2493486;26142306;0;1;0
2495628;25199245;0;1;0
2497084;26846105;0;1;0
2497630;22797100;0;1;1
2497630;26002642;0;1;1
2497630;27220719;0;1;1
2502010;4537141;0;1;0
2505119;26020495;0;1;1
2505120;719193;0;1;1
2510027;12942425;0;1;1
2513963;27402886;0;1;0
2517054;10884481;0;1;0
2517054;25362996;0;1;0
2517422;26018753;0;1;0
2519745;26273311;0;1;1
2524311;24761083;1;1;1
2528688;26198883;0;1;0
2540091;25253240;0;1;1
2540091;26342548;0;1;1
2540550;19558557;0;1;0
2540550;26019683;0;1;1
2549457;25659549;0;1;0
2550443;25362031;0;1;1
2550443;26597063;0;1;1
2550938;26015490;0;1;1
2552008;18814314;0;1;1
2552479;7128683;0;1;0
2552479;13255870;0;1;0
2553264;25440484;0;1;0
2555315;14085589;0;1;0
2556588;7475504;0;1;1
2558254;9819866;0;1;1
2559608;25722076;0;1;0
2562326;26817411;0;1;1
2562552;25773529;0;1;0
2564988;10869089;0;1;1
2565778;14141495;1;1;1
2567088;26171174;0;1;0
2568148;25173331;0;1;1
2575525;23356277;0;1;0
2577700;5565470;0;1;0
2577700;14668758;0;1;0
2577700;26694972;0;1;0
2578938;3106119;0;1;1
2578938;14409359;0;1;1
2590301;27632303;0;1;0
2593170;25528204;0;1;1
2593610;26630152;0;1;1
2595334;9311547;0;1;0
2598015;25775604;0;1;1
2601672;26805956;0;1;0
2603142;25526214;0;1;0
2603213;6120309;0;1;1
2605145;24407196;0;1;1
2605280;27350781;0;1;1
2608059;5955525;1;1;0
2609317;26200169;0;1;0
2611481;4009183;1;1;0
2611481;16080247;0;1;0
2615616;25910559;0;1;0
2619084;5130192;0;1;0
2619084;26331342;0;1;0
2619084;26362016;0;1;0
2621373;8169934;0;1;0
2624512;10001616;0;1;1
2636353;25679051;0;1;0
2642630;6169186;0;1;1
