mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
419350;10064;711000000131
419405;25501;611000000133
419482;13167;711000000133
419805;6336;231000000133
420127;706;711000000133
420376;11139;131000000133
420377;24652;131000000133
420718;25921;411000000133
420832;845;131000000133
422137;9285;431000000133
422202; ; 
422618;2859;611000000133
422637;14870;511000000133
422646;518;231000000133
423813;4505;431000000133
424123;9666;131000000133
424134;2443;351052009133
425002;3305;131000000133
425510;1472;511000000133
426341;2394;511000000133
426455;31110;431000000133
426532;1289;461064008133
426601;1663;231000000131
429766;401;711000000133
431531;8849;431000000133
431723;8487;331000000111
431779;3328;131000000133
431780;4166;131000000113
431863;1453;511000000133
432017;31345;231000000133
432328;416;711000000133
433495;25543;611000000131
433912;10729;711000000133
434446;10425;411000000133
434703;2937;131000000133
434736;24403;411000000133
435319;2283;131000000133
435613;5589;411000000133
437443;40155;131000000133
437461;2939;131000000133
437748;31030;231000000133
438350;22664;131000000133
438548;31074;231000000113
439197;25717;511000000131
439962;2559;611000000133
440133;285;331000000133
440248;10210;131000000133
441024;284;131000000133
441498;7626;131000000133
441635;10542;131000000133
442003;2078;711000000133
442121;8756;131000000233
442338;13427;411000000133
442370;12312;231000000133
442874;40319;311000000133
443277;24686;131000000133
443504;26115;811000000133
444144;25050;231000000133
444633;26292;361061003133
444850;10015;711000000131
445495;9087;511000000133
445844;22626;131000000133
445883;31278;131000000133
446158;24946;131000000133
446469;26111;811000000233
446646;7627;131000000123
446682;3110;411000000133
446737;10848;711000000133
447496;25032;811000000133
447912;10704;711000000133
448144;10505;331000000133
448760;10507;361061003113
449464;22236;511000000133
451558;12587;711000000133
452157;10641;511000000133
452695;2938;131000000133
453235;9638;131000000133
453570;4535;131000000131
453648;10805;611000000133
453714;17916;511000000133
453980;8714;711000000131
453984;4731;611000000133
454737;13220;611000000133
455619;8498;511000000133
456478;26168;231000000133
457193;7775;231000000133
457331;2398;711000000133
457689;2939;131000000133
457690;1884;811000000133
458377;9409;361064008112
459273;294;811000000133
459691;11741;711000000131
460098;24714;131000000133
461604;17818;371071005133
461658;1599;811000000131
462017;5668;711000000133
462471;1958;231000000133
462550;25853;361064001133
463505;9939;511000000131
464292;7331;131000000133
464718;9185;331000000123
465305;10557;811000000133
465378;14879;131000000133
466132;24889;331000000233
466600;1;131000000131
466723;8487;711000000112
466759;24878;811000000133
466863;25458;131000000132
470035;1895;131000000133
470926;2129;711000000131
471908;1692;811000000133
472282;31345;131000000133
475163;14879;411000000133
475709;7;131000000133
475760;2102;131000000113
475784;7044;231000000133
478026;6230;131000000133
478137;41135;131000000133
479089;578;231000000133
479115;16432;131000000133
479263;9206;411000000133
479467; ; 
479951;714;511000000133
480423;5597;131000000133
481138;10830;131000000113
481354;20436;431000000133
481650;24946;711000000133
482570;16816;411000000133
482597;10496;231000000123
482623;5569;231000000133
482641;25136;361064001133
482740;2163;331000000132
483624;10592;131000000133
484102;25042;611000000131
484587;3345;411000000133
485142;2938;231000000133
485222;1455;811000000133
485579;4562;131000000133
485582;13559;711000000133
485669;10452;131000000133
486048;1702;411000000133
486464;24313;711000000133
486775;25899;131000000133
487281;8930;431000000111
488207;5666;131000000132
488390;12185;131000000133
489087;31;811000000133
489088;7450;811000000133
489133;26324;331000000133
489387; ; 
489624;5224;711000000133
491251;25084;511000000133
492169;10015;511000000131
493861;8492;331000000121
494654;24464;811000000131
494838;10544;231000000133
494842;106;131000000133
494884;10711;231000000133
494980;9065;131000000131
495190;9194;231000000132
497247;25593;411000000133
497693;344;431000000131
498048;1503;131000000133
498050;408;811000000133
498087;12217;131000000133
498140;16443;351058033132
498344;9183;131000000133
499819;24685;131000000133
500110;4534;131000000131
500508;379;231000000133
500633;12062;351052010133
501328;4310;811000000133
501374;25738;811000000131
501768;567;131000000133
502412;2012;451057030133
502641;254;811000000113
503195;5016;511000000133
503401;9408;131000000133
504301;24329;511000000123
505035;9332;131000000133
505516;24412;411000000133
505900;2975;611000000133
508211;2938;131000000133
509335;24689;411000000123
509585;25709;411000000132
509730;2625;331000000133
509753;25960;231000000133
510385;4563;711000000131
510804;9061;131000000133
510837;25431;511000000131
511152;9339;331000000133
511507;10015;411000000132
512183;24446;131000000133
513093;26303;131000000133
513889;12217;351053015133
514945;24231;131000000133
515006;26436;431000000133
515663;25386;231000000133
515905;4982;131000000132
515952;24686;131000000133
516029;8429;131000000133
517148;107;711000000133
518469;31030;131000000133
519174;9411;131000000133
519974;22;411000000133
520405;226;711000000133
522033;5588;611000000133
522185;297;411000000133
522296;13156;441041005133
523628;25458;231000000132
524625;2364;711000000131
524859;8828;311000000133
525381;2041;331000000113
526038;280;441041005133
526063;1664;131000000133
526416;2103;351052010133
527264;17818;231000000133
528243;9116;811000000133
528488;4535;131000000131
528815;24652;231000000133
528856;9937;231000000113
528946;2331;511000000133
529633;12962;511000000133
529879;31190;811000000133
530399;9780;231000000133
530773;22140;151051005133
531000;3719;711000000133
531429;10607;711000000231
532115;1757;131000000133
532609;2283;131000000133
532837;6751;131000000133
534022;2793;131000000131
534386;1619;131000000131
534813;10970;341041005133
536039;13586;131000000133
536054;20074;331000000133
536146;2395;511000000133
536974;7629;231000000133
537394;24685;131000000133
537855;15720;131000000133
538312;2163;131000000131
538403;9284;611000000133
