mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
26244509;-1;1;0;0;-34,5917207;-71,0046958
26244547;9;1;0;1;-33,4490743;-70,6524652
26244616;10;0;0;0;-33,4216721;-70,617278
26244633;5;1;0;1;-41,4708348;-72,9975116
26244637;11;1;0;0;-33,4211434;-70,5786757
26244712;5;1;0;0;-29,9263597;-71,277023
26244883;9;1;0;1;-33,4541537;-70,5787772
26244943;9;1;1;1;-33,3989839;-70,8809275
26245022;10;1;1;1;-34,1593513;-70,7317427
26245036;10;1;1;1;-36,7901944;-73,0872637
26245065;11;0;1;0;-33,4373103;-70,6495563
26245122;8;0;1;0;-33,1803802;-70,6522569
26245221;11;0;0;0;-33,5183329;-70,5533674
26245224;5;0;1;0;-33,6070414;-70,6871139
26245369;12;0;0;0;-33,5512626;-70,6046046
26245380;11;0;0;0;-33,5097016;-70,6493245
26245423;10;1;0;1;-34,6477657;-71,3558181
26245584;9;1;0;1;-33,4917929;-70,6468366
26245613;12;0;0;0;-33,5973894;-70,6949908
26245702;3;0;1;0;-33,5210348;-70,8005434
26245777;7;1;0;0;-33,4666805;-70,6285864
26245826;6;1;1;0;-33,4865576;-70,717623
26246047;9;0;1;1;-33,050604;-71,60839
26246186;6;1;0;0;-33,4633462;-70,6284978
26246252;0;0;0;0;-32,9853658;-71,5409254
26246357;7;0;0;0;-33,4562299;-70,6501697
26246365;9;1;1;0;-33,5032942;-70,613774
26246444;9;0;1;0;-33,2049194;-70,6749637
26246460;7;1;1;0;-27,354262;-70,3307501
26246464;12;1;0;0;-33,8016829;-70,7368728
26246486;2;0;1;0;-41,864932;-73,8279563
26246488;11;0;1;0;-35,4349249;-71,6586727
26246554;12;0;0;0;-38,7432239;-72,5894753
26246698;11;0;0;0;-33,4451989;-70,6934386
26246899;12;0;0;0;-33,4774652;-70,7507548
26247052;9;0;0;0;-20,2846331;-70,1015634
26247095;9;0;1;1;-18,3755398;-70,297311
26247133;3;0;1;0;-33,4492535;-70,6560656
26247236;10;0;0;1;-33,4881385;-70,600675
26247336;1;0;1;0;-41,4497477;-72,9182041
26247374;9;1;0;0;-33,4241871;-70,6428081
26247443;3;0;0;0;-33,2187282;-70,684139
26247660;7;1;1;0;-34,9681698;-71,2249642
26247661;-1;0;1;0;-28,5927465;-70,7434698
26247680;9;1;1;1;-20,2399976;-70,1284851
26247822;4;0;1;0;-23,6012577;-70,3721236
26250131;-1;1;1;0;-30,0660886;-71,2442967
26250142;1;0;1;0;-33,0052975;-71,4808256
26250161;1;1;1;0;-33,5117916;-70,6409226
26250177;1;0;1;0;-23,5960913;-70,3938543
26250188;0;0;1;0;-23,5673496;-70,3841629
26250189;1;1;1;0;-33,0420867;-71,3577416
26250200;0;1;1;0;-28,5758102;-70,7563015
26250249;-1;0;1;0;-37,1217193;-72,0276974
26250270;0;1;1;0;-38,2472316;-72,323049
26250298;-1;0;1;0;-32,8305352;-70,5992138
26250300;1;0;0;0;-43,1160824;-73,6130869
26250310;0;1;1;0;-38,4650746;-72,3854529
26250338;0;1;1;0;-36,5874336;-72,068037
26250397;-1;1;1;0;-34,9303026;-71,3207468
26250402;1;1;1;0;-28,5930733;-70,7426004
26250448;-1;0;0;0;-27,3670209;-70,3294996
26250504;-1;1;1;0;-38,7308897;-72,5639895
26250515;-1;1;1;0;-33,5378161;-70,6602843
26250532;-1;0;1;0;-41,3190562;-72,9842054
26250547;1;0;1;0;-33,5215585;-70,6890549
26250584;-1;1;1;0;-39,6654311;-72,950881
26250684;-1;1;0;0;-39,8407347;-73,2194333
26250712;0;1;1;0;-18,4885137;-70,3143946
26250776;0;1;1;0;-34,1776649;-70,7053886
26250813;0;1;1;0;-33,4188264;-70,6969087
26250814;0;0;1;0;-53,1487814;-70,9308646
26250881;1;1;1;0;-23,7073561;-70,4191912
26250883;0;0;0;0;-33,0567018;-71,5373492
26251032;-1;1;1;0;-42,3684534;-73,6520253
26251123;1;1;1;0;-42,4671814;-73,7772322
26251205;0;0;1;0;-36,7476322;-72,9982466
26251239;1;0;1;0;-35,6629875;-72,443086
26251328;-1;1;0;0;-38,7684324;-72,6000593
26251359;-1;0;1;0;-35,8441386;-71,6149613
26251360;2;1;0;0;-33,5221315;-70,5980145
26251366;0;0;1;0;-38,7516399;-72,6098116
26251406;-1;0;0;0;-38,7526934;-72,9363908
26251407;1;1;0;0;-33,5180681;-70,5575723
26251414;1;0;0;0;-36,9745451;-73,1619829
26251420;0;1;1;0;-33,3753922;-70,7287499
26251490;1;1;1;0;-40,5752141;-73,1351387
26251580;-1;1;0;0;-41,4432617;-72,9299086
26251613;-1;1;0;0;-33,4669338;-70,5526258
26251623;-1;0;1;0;-34,5852059;-70,9909024
26251661;-1;0;1;0;-38,7368134;-72,6282419
26251664;-1;0;1;0;-37,670936;-72,5840625
26251755;2;0;0;0;-40,5819614;-73,164508
26251773;1;1;1;0;-35,3985346;-71,5028508
26251777;2;0;1;0;-33,6143503;-70,6839312
26251792;1;0;0;0;-23,6040228;-70,369897
26251825;1;0;1;0;-35,6987128;-71,4179327
26251859;-1;1;1;0;-29,9496802;-71,2521345
26251863;1;0;0;0;-23,6638882;-70,3951673
26251869;0;0;1;0;-23,6047939;-70,3808548
26251883;-1;1;1;0;-34,15765;-70,7187339
26251895;0;0;1;0;-31,6337171;-71,166192
26251946;0;0;0;0;-18,4890854;-70,3120401
26251952;-1;1;1;0;-23,6933253;-70,4116017
26251967;1;0;1;0;-33,0003605;-71,481796
26252000;1;0;0;0;-39,2941624;-72,4055699
26252006;0;0;1;0;-33,0102696;-71,4766757
26252039;-1;1;1;0;-28,5928018;-70,7437
26252076;1;0;1;0;-38,7732856;-72,6017334
26252096;-1;0;0;0;-33,4667099;-70,5994613
26252158;2;1;1;0;-40,5603374;-73,1839092
26252162;-1;1;1;0;-38,7453382;-72,6316556
26252184;-1;0;0;0;-32,7943472;-71,202324
26252190;1;1;1;0;-34,1950333;-70,8937035
26252194;-1;1;1;0;-33,0469517;-71,4088664
26252196;1;1;1;0;-18,4858216;-70,3101003
26252202;-1;0;1;0;-39,6552148;-72,9500673
26252235;0;1;0;0;-23,6505122;-70,384083
26252241;-1;1;1;0;-37,4915368;-72,3323338
26252267;-1;1;1;0;-41,6196714;-73,5939786
26252294;0;0;0;0;-36,6264588;-71,8409642
26252344;0;0;1;0;-34,9714942;-71,2307643
26252358;1;0;1;0;-33,5628768;-70,8229728
26252381;-1;1;0;0;-29,9432731;-71,3428956
26252394;-1;1;0;0;-36,7861594;-73,0443465
26252413;1;1;0;0;-22,469925;-68,9303952
26252416;-1;0;1;0;-28,5801873;-70,7636481
26252457;-1;0;0;0;-36,5896774;-72,1161324
26252484;-1;0;0;0;-35,4261222;-71,6660516
26252497;2;1;0;0;-33,5203506;-70,5827312
26252546;1;0;0;0;-33,6620394;-70,5841208
26252549;1;0;1;0;-38,738183;-72,7076156
26252566;0;0;1;0;-38,7333953;-72,9453331
26252653;-1;0;0;0;-33,5282734;-70,5970312
26252657;0;0;1;0;-35,2494772;-71,2838316
26252700;1;0;1;0;-32,7398057;-70,7385383
26252748;-1;1;1;0;-34,9851239;-71,2515953
26252783;-1;0;1;0;-39,8241497;-73,2109764
26252821;-1;1;1;0;-41,4757331;-72,9929824
26252832;-1;0;1;0;-23,6000308;-70,3727373
26252844;-1;0;0;0;-40,5946083;-73,1229751
26252937;-1;1;1;0;-34,1829788;-70,7384567
26252969;1;1;1;0;-36,7471905;-72,4746886
26253034;0;1;0;0;-36,6065417;-72,1058939
26253039;-1;1;0;0;-40,59576;-73,1101314
26253064;1;0;1;0;-41,466188;-72,9200673
26253067;-1;0;1;0;-39,3667755;-72,6237685
26253070;0;0;1;0;-33,5972468;-70,5799605
26253087;0;1;1;0;-39,890113;-72,7948777
26253108;-1;1;1;0;-38,7559181;-72,9399056
26253118;1;1;0;0;-35,4302683;-71,6526684
26253159;0;1;1;0;-38,4666031;-72,3878032
26253211;-1;0;1;0;-23,6388453;-70,3893548
26253223;1;0;0;0;-22,4656782;-68,936937
26253273;1;0;0;0;-20,2116142;-70,1489373
26253287;0;0;0;0;-33,6106068;-70,6879281
26253318;2;1;1;0;-29,9452667;-71,2476056
26253389;-1;0;1;0;-39,8588228;-73,2418922
26253461;3;1;1;0;-33,1811855;-70,6670771
26253526;9;1;0;0;-33,4378872;-70,6167379
26253633;6;1;0;1;-33,0007875;-71,4953013
26253744;2;1;0;0;-34,1778835;-70,7637681
26253835;6;0;0;0;-39,8158266;-73,24094
26253871;2;1;0;0;-37,8068338;-72,6931167
26253918;6;0;1;0;-33,4315551;-70,6612876
26254068;2;1;1;0;-33,4524181;-70,6765991
26254081;9;0;0;0;-33,1935133;-70,6658527
26254164;2;1;1;0;-34,4370653;-71,0902419
26254197;2;0;1;0;-33,4364055;-70,7666668
26254312;2;0;1;0;-35,8344971;-71,6148445
26254324;3;1;0;0;-34,9635273;-71,2170437
26254392;7;0;0;0;-33,4941103;-70,6508273
26254413;2;0;1;0;-33,4167605;-70,7346134
26254483;12;0;0;0;-20,2653509;-70,1099152
26254544;7;1;0;0;-33,4753662;-70,5412265
26254622;2;1;1;0;-35,3401007;-72,3944658
26254661;3;1;1;0;-42,4829129;-73,7602399
26254727;2;1;1;0;-35,5924673;-71,7186767
