mrun;cod_nivel;rbd_admitido;cod_curso_admitido
280186;7;4982;711000000131
281259;7;1619;711000000131
281493;10;2448;231000000133
282350;7;22195;711000000131
285784;10;9150;231000000133
286108;6;1757;611000000133
287512;9;3163;131000000133
288109;9;7720;131000000133
288400;4;10640;411000000133
288407;9;22114;131000000233
289118;9;12610;131000000133
289354;11;9063;351052009133
289672;7;31294;711000000133
290086;9;9668;131000000133
290294;4;9953;411000000131
290622;4;9786;411000000133
290702;11;768;361064001113
290977;10;611;231000000133
291698;9;24496;131000000133
291860;10;9937;231000000113
291968;9;9328;131000000131
292125;9;9897;131000000133
293369;9;1395;131000000133
293801;3;1987;311000000131
294167;10;1213;231000000133
294446;9;22496;131000000133
294661;7;1472;711000000133
294773;10;4;231000000133
296487;12;6112;431000000133
296852;9;40080;131000000133
297439;4;5654;411000000133
297897;9;3387;131000000133
298224;11;255;331000000133
299572;4;9421;411000000133
301474;9;9209;131000000113
301498;12;31068;431000000133
301541;5;17817;511000000131
301944;5;10567;511000000131
302209;7;10640;711000000133
302878;11;9889;361064008133
304186;9; ; 
304477;9;1443;131000000133
305058;8;26084;811000000133
305580;5;9366;511000000133
305922;9;1443;131000000133
307326;10;7720;231000000133
307403;12;9283;431000000233
307608;6;3249;611000000133
308062;4;285;411000000133
308168;11;6895;331000000133
308379;5;7654;511000000133
308409;11;9082;341041005133
308972;9;24496;131000000133
309121;12;10641;431000000133
309152;8;22271;811000000133
309725;4;1522;411000000133
309755;9;14616;131000000333
310144;3;10832;311000000133
310360;9;25386;131000000133
310888;5;40395;511000000133
311474;7;10790;711000000133
312321;8;10716;811000000131
312364;8;22226;811000000133
312985;5;1524;511000000133
313111;7;9208;711000000133
313994;4;1389;411000000133
314308;4;527;411000000133
314990;10;9693;231000000133
315099;9; ; 
315894;8; ; 
316626;7;25091;711000000133
316680;11;6336;331000000133
319269;9;774;131000000133
319439;9;7328;131000000133
320058;9;4451;131000000133
320059;9;20037;131000000133
320345;9;6650;131000000133
320376;4;14922;411000000133
320753;11;4534;341041005131
321447;11;1525;351052010231
322734;3;3453;311000000133
323734;5;2428;511000000133
323762;9;40298;131000000133
324132;8;22096;811000000133
324587;12;7544;431000000133
324745;6;25288;611000000133
325622;7;9654;711000000131
326143;5;11033;511000000133
326443;9;1958;131000000133
327235;12;8498;431000000133
328491;4;3068;411000000133
330004;12;9208;431000000133
330076;7;1194;711000000133
330377;9;5697;131000000131
330378;9; ; 
330422;8;11851;811000000133
331975;9;4535;131000000131
332906;9;2444;131000000133
333079;7;5652;711000000113
333294;7;530;711000000133
335560;9;12117;131000000133
335651;9;9209;131000000113
336470;11;2134;341041005133
336806;6;20218;611000000133
337786;4;10081;411000000133
337838;9;1881;131000000133
338688;5;25571;511000000132
339039;9;8489;131000000113
339369;9;9659;131000000233
339919;7;10400;711000000133
340286;9;4333;131000000133
340603;9;2447;131000000133
